2019-04-20 16:01:07 ===== Starting: rave =====
2019-04-20 16:01:10 Run
2019-04-20 16:01:10 id = 5 (local); Seed = 0; Starting new sample
2019-04-20 16:05:52 id = 1 (local); Seed = 19; Starting new sample
2019-04-20 16:06:05 id = 5 (local); Seed = 14; Done (0)
2019-04-20 16:06:05 id = 5 (local); Seed = 20; Starting new sample
2019-04-20 16:06:05 id = 3 (local); Seed = 16; Done (0)
2019-04-20 16:06:05 id = 3 (local); Seed = 21; Starting new sample
2019-04-20 16:06:06 id = 4 (local); Seed = 15; Done (1)
2019-04-20 16:06:06 id = 4 (local); Seed = 22; Starting new sample
2019-04-20 16:06:10 id = 2 (local); Seed = 17; Done (1)
2019-04-20 16:06:10 id = 2 (local); Seed = 23; Starting new sample
2019-04-20 16:07:13 id = 0 (local); Seed = 18; Done (1)
2019-04-20 16:07:13 id = 0 stopped. RunningProcessors = 5
2019-04-20 16:07:34 id = 1 (local); Seed = 19; Done (0)
2019-04-20 16:07:34 id = 1 stopped. RunningProcessors = 4
2019-04-20 16:07:37 id = 3 (local); Seed = 21; Done (1)
2019-04-20 16:07:37 id = 3 stopped. RunningProcessors = 3
2019-04-20 16:07:42 id = 5 (local); Seed = 20; Done (0)
2019-04-20 16:07:42 id = 5 stopped. RunningProcessors = 2
2019-04-20 16:07:49 id = 4 (local); Seed = 22; Done (0)
2019-04-20 16:07:49 id = 4 stopped. RunningProcessors = 1
2019-04-20 16:07:52 id = 2 (local); Seed = 23; Done (0)
2019-04-20 16:07:52 id = 2 stopped. RunningProcessors = 0
2019-04-20 16:07:52 Stop
2019-04-20 16:08:00 ===== Starting: rave =====
2019-04-20 16:08:00 Found existing rave.dat
2019-04-20 16:08:00 Renaming rave.dat to rave-old.dat
2019-04-20 16:08:00 Reading rave-old.dat...
2019-04-20 16:08:00 Backup done.
2019-04-20 16:08:00 Samples = 24; Results = 24; Mismatches = 0.
2019-04-20 16:08:08 Run
2019-04-20 16:08:08 id = 5 (local); Seed = 24; Starting new sample
2019-04-20 16:08:08 id = 4 (local); Seed = 25; Starting new sample
2019-04-20 16:08:08 id = 3 (local); Seed = 26; Starting new sample
2019-04-20 16:08:08 id = 2 (local); Seed = 27; Starting new sample
2019-04-20 16:08:09 id = 1 (local); Seed = 28; Starting new sample
2019-04-20 16:08:09 id = 0 (local); Seed = 29; Starting new sample
2019-04-20 16:09:10 id = 2 (local); Seed = 27; Done (0)
2019-04-20 16:09:10 id = 2 (local); Seed = 30; Starting new sample
2019-04-20 16:09:13 id = 5 (local); Seed = 24; Done (0)
2019-04-20 16:09:13 id = 5 (local); Seed = 31; Starting new sample
2019-04-20 16:09:17 id = 4 (local); Seed = 25; Done (0)
2019-04-20 16:09:17 id = 4 (local); Seed = 32; Starting new sample
2019-04-20 16:09:40 id = 1 (local); Seed = 28; Done (0)
2019-04-20 16:09:40 id = 1 (local); Seed = 33; Starting new sample
2019-04-20 16:09:46 id = 0 (local); Seed = 29; Done (0)
2019-04-20 16:09:46 id = 0 (local); Seed = 34; Starting new sample
2019-04-20 16:09:51 id = 3 (local); Seed = 26; Done (0)
2019-04-20 16:09:51 id = 3 (local); Seed = 35; Starting new sample
2019-04-20 16:10:52 id = 2 (local); Seed = 30; Done (2)
2019-04-20 16:10:52 id = 2 (local); Seed = 36; Starting new sample
2019-04-20 16:10:54 id = 4 (local); Seed = 32; Done (0)
2019-04-20 16:10:54 id = 4 (local); Seed = 37; Starting new sample
2019-04-20 16:10:55 id = 5 (local); Seed = 31; Done (1)
2019-04-20 16:10:55 id = 5 (local); Seed = 38; Starting new sample
2019-04-20 16:11:19 id = 1 (local); Seed = 33; Done (0)
2019-04-20 16:11:19 id = 1 (local); Seed = 39; Starting new sample
2019-04-20 16:11:28 id = 0 (local); Seed = 34; Done (0)
2019-04-20 16:11:28 id = 0 (local); Seed = 40; Starting new sample
2019-04-20 16:11:33 id = 3 (local); Seed = 35; Done (0)
2019-04-20 16:11:33 id = 3 (local); Seed = 41; Starting new sample
2019-04-20 16:12:05 id = 2 (local); Seed = 36; Done (0)
2019-04-20 16:12:05 id = 2 (local); Seed = 42; Starting new sample
2019-04-20 16:12:33 id = 4 (local); Seed = 37; Done (0)
2019-04-20 16:12:33 id = 4 (local); Seed = 43; Starting new sample
2019-04-20 16:12:37 id = 5 (local); Seed = 38; Done (0)
2019-04-20 16:12:37 id = 5 (local); Seed = 44; Starting new sample
2019-04-20 16:13:01 id = 1 (local); Seed = 39; Done (2)
2019-04-20 16:13:01 id = 1 (local); Seed = 45; Starting new sample
2019-04-20 16:13:04 id = 0 (local); Seed = 40; Done (0)
2019-04-20 16:13:04 id = 0 (local); Seed = 46; Starting new sample
2019-04-20 16:13:15 id = 3 (local); Seed = 41; Done (2)
2019-04-20 16:13:15 id = 3 (local); Seed = 47; Starting new sample
2019-04-20 16:13:47 id = 2 (local); Seed = 42; Done (0)
2019-04-20 16:13:48 id = 2 (local); Seed = 48; Starting new sample
2019-04-20 16:14:03 id = 5 (local); Seed = 44; Done (0)
2019-04-20 16:14:03 id = 5 (local); Seed = 49; Starting new sample
2019-04-20 16:14:15 id = 4 (local); Seed = 43; Done (0)
2019-04-20 16:14:15 id = 4 (local); Seed = 50; Starting new sample
2019-04-20 16:14:28 id = 1 (local); Seed = 45; Done (0)
2019-04-20 16:14:28 id = 1 (local); Seed = 51; Starting new sample
2019-04-20 16:14:39 id = 0 (local); Seed = 46; Done (0)
2019-04-20 16:14:39 id = 0 (local); Seed = 52; Starting new sample
2019-04-20 16:14:40 id = 3 (local); Seed = 47; Done (0)
2019-04-20 16:14:40 id = 3 (local); Seed = 53; Starting new sample
2019-04-20 16:15:09 id = 2 (local); Seed = 48; Done (0)
2019-04-20 16:15:09 id = 2 (local); Seed = 54; Starting new sample
2019-04-20 16:15:38 id = 5 (local); Seed = 49; Done (0)
2019-04-20 16:15:38 id = 5 (local); Seed = 55; Starting new sample
2019-04-20 16:15:54 id = 4 (local); Seed = 50; Done (0)
2019-04-20 16:15:54 id = 4 (local); Seed = 56; Starting new sample
2019-04-20 16:16:10 id = 1 (local); Seed = 51; Done (0)
2019-04-20 16:16:10 id = 1 (local); Seed = 57; Starting new sample
2019-04-20 16:16:17 id = 0 (local); Seed = 52; Done (0)
2019-04-20 16:16:17 id = 0 (local); Seed = 58; Starting new sample
2019-04-20 16:16:19 id = 3 (local); Seed = 53; Done (0)
2019-04-20 16:16:19 id = 3 (local); Seed = 59; Starting new sample
2019-04-20 16:16:51 id = 2 (local); Seed = 54; Done (1)
2019-04-20 16:16:51 id = 2 (local); Seed = 60; Starting new sample
2019-04-20 16:17:20 id = 5 (local); Seed = 55; Done (1)
2019-04-20 16:17:20 id = 5 (local); Seed = 61; Starting new sample
2019-04-20 16:17:28 id = 4 (local); Seed = 56; Done (1)
2019-04-20 16:17:28 id = 4 (local); Seed = 62; Starting new sample
2019-04-20 16:17:48 id = 1 (local); Seed = 57; Done (0)
2019-04-20 16:17:48 id = 1 (local); Seed = 63; Starting new sample
2019-04-20 16:17:49 id = 0 (local); Seed = 58; Done (0)
2019-04-20 16:17:49 id = 0 (local); Seed = 64; Starting new sample
2019-04-20 16:18:01 id = 3 (local); Seed = 59; Done (1)
2019-04-20 16:18:01 id = 3 (local); Seed = 65; Starting new sample
2019-04-20 16:18:29 id = 2 (local); Seed = 60; Done (0)
2019-04-20 16:18:29 id = 2 (local); Seed = 66; Starting new sample
2019-04-20 16:18:59 id = 5 (local); Seed = 61; Done (0)
2019-04-20 16:18:59 id = 5 (local); Seed = 67; Starting new sample
2019-04-20 16:19:03 id = 4 (local); Seed = 62; Done (0)
2019-04-20 16:19:03 id = 4 (local); Seed = 68; Starting new sample
2019-04-20 16:19:17 id = 1 (local); Seed = 63; Done (1)
2019-04-20 16:19:17 id = 1 (local); Seed = 69; Starting new sample
2019-04-20 16:19:27 id = 0 (local); Seed = 64; Done (0)
2019-04-20 16:19:27 id = 0 (local); Seed = 70; Starting new sample
2019-04-20 16:19:40 id = 3 (local); Seed = 65; Done (0)
2019-04-20 16:19:40 id = 3 (local); Seed = 71; Starting new sample
2019-04-20 16:20:12 id = 2 (local); Seed = 66; Done (0)
2019-04-20 16:20:12 id = 2 (local); Seed = 72; Starting new sample
2019-04-20 16:20:13 id = 4 (local); Seed = 68; Done (0)
2019-04-20 16:20:13 id = 4 (local); Seed = 73; Starting new sample
2019-04-20 16:20:38 id = 1 (local); Seed = 69; Done (0)
2019-04-20 16:20:38 id = 1 (local); Seed = 74; Starting new sample
2019-04-20 16:20:41 id = 5 (local); Seed = 67; Done (1)
2019-04-20 16:20:41 id = 5 (local); Seed = 75; Starting new sample
2019-04-20 16:21:08 id = 3 (local); Seed = 71; Done (0)
2019-04-20 16:21:08 id = 3 (local); Seed = 76; Starting new sample
2019-04-20 16:21:09 id = 0 (local); Seed = 70; Done (0)
2019-04-20 16:21:09 id = 0 (local); Seed = 77; Starting new sample
2019-04-20 16:21:38 id = 2 (local); Seed = 72; Done (1)
2019-04-20 16:21:38 id = 2 (local); Seed = 78; Starting new sample
2019-04-20 16:21:52 id = 4 (local); Seed = 73; Done (1)
2019-04-20 16:21:52 id = 4 (local); Seed = 79; Starting new sample
2019-04-20 16:22:21 id = 1 (local); Seed = 74; Done (1)
2019-04-20 16:22:21 id = 1 (local); Seed = 80; Starting new sample
2019-04-20 16:22:23 id = 5 (local); Seed = 75; Done (1)
2019-04-20 16:22:23 id = 5 (local); Seed = 81; Starting new sample
2019-04-20 16:22:28 id = 0 (local); Seed = 77; Done (1)
2019-04-20 16:22:28 id = 0 (local); Seed = 82; Starting new sample
2019-04-20 16:22:39 id = 3 (local); Seed = 76; Done (0)
2019-04-20 16:22:39 id = 3 (local); Seed = 83; Starting new sample
2019-04-20 16:23:21 id = 2 (local); Seed = 78; Done (2)
2019-04-20 16:23:21 id = 2 (local); Seed = 84; Starting new sample
2019-04-20 16:23:34 id = 4 (local); Seed = 79; Done (1)
2019-04-20 16:23:34 id = 4 (local); Seed = 85; Starting new sample
2019-04-20 16:23:59 id = 1 (local); Seed = 80; Done (1)
2019-04-20 16:23:59 id = 1 (local); Seed = 86; Starting new sample
2019-04-20 16:24:02 id = 5 (local); Seed = 81; Done (0)
2019-04-20 16:24:02 id = 5 (local); Seed = 87; Starting new sample
2019-04-20 16:24:10 id = 0 (local); Seed = 82; Done (0)
2019-04-20 16:24:10 id = 0 (local); Seed = 88; Starting new sample
2019-04-20 16:24:21 id = 3 (local); Seed = 83; Done (1)
2019-04-20 16:24:21 id = 3 (local); Seed = 89; Starting new sample
2019-04-20 16:24:58 id = 2 (local); Seed = 84; Done (0)
2019-04-20 16:24:58 id = 2 (local); Seed = 90; Starting new sample
2019-04-20 16:25:13 id = 4 (local); Seed = 85; Done (1)
2019-04-20 16:25:13 id = 4 (local); Seed = 91; Starting new sample
2019-04-20 16:25:41 id = 1 (local); Seed = 86; Done (0)
2019-04-20 16:25:41 id = 1 (local); Seed = 92; Starting new sample
2019-04-20 16:25:42 id = 0 (local); Seed = 88; Done (1)
2019-04-20 16:25:42 id = 0 (local); Seed = 93; Starting new sample
2019-04-20 16:25:44 id = 5 (local); Seed = 87; Done (1)
2019-04-20 16:25:44 id = 5 (local); Seed = 94; Starting new sample
2019-04-20 16:25:59 id = 3 (local); Seed = 89; Done (0)
2019-04-20 16:26:00 id = 3 (local); Seed = 95; Starting new sample
2019-04-20 16:26:40 id = 2 (local); Seed = 90; Done (0)
2019-04-20 16:26:40 id = 2 (local); Seed = 96; Starting new sample
2019-04-20 16:26:49 id = 4 (local); Seed = 91; Done (0)
2019-04-20 16:26:49 id = 4 (local); Seed = 97; Starting new sample
2019-04-20 16:27:01 id = 0 (local); Seed = 93; Done (0)
2019-04-20 16:27:01 id = 0 (local); Seed = 98; Starting new sample
2019-04-20 16:27:19 id = 1 (local); Seed = 92; Done (0)
2019-04-20 16:27:19 id = 1 (local); Seed = 99; Starting new sample
2019-04-20 16:27:26 id = 5 (local); Seed = 94; Done (0)
2019-04-20 16:27:26 id = 5 (local); Seed = 100; Starting new sample
2019-04-20 16:27:42 id = 3 (local); Seed = 95; Done (0)
2019-04-20 16:27:42 id = 3 (local); Seed = 101; Starting new sample
2019-04-20 16:28:23 id = 2 (local); Seed = 96; Done (2)
2019-04-20 16:28:23 id = 2 (local); Seed = 102; Starting new sample
2019-04-20 16:28:27 id = 4 (local); Seed = 97; Done (0)
2019-04-20 16:28:27 id = 4 (local); Seed = 103; Starting new sample
2019-04-20 16:28:43 id = 0 (local); Seed = 98; Done (0)
2019-04-20 16:28:43 id = 0 (local); Seed = 104; Starting new sample
2019-04-20 16:29:01 id = 1 (local); Seed = 99; Done (2)
2019-04-20 16:29:01 id = 1 (local); Seed = 105; Starting new sample
2019-04-20 16:29:05 id = 5 (local); Seed = 100; Done (0)
2019-04-20 16:29:05 id = 5 (local); Seed = 106; Starting new sample
2019-04-20 16:29:24 id = 3 (local); Seed = 101; Done (2)
2019-04-20 16:29:24 id = 3 (local); Seed = 107; Starting new sample
2019-04-20 16:30:05 id = 2 (local); Seed = 102; Done (0)
2019-04-20 16:30:05 id = 2 (local); Seed = 108; Starting new sample
2019-04-20 16:30:09 id = 4 (local); Seed = 103; Done (2)
2019-04-20 16:30:09 id = 4 (local); Seed = 109; Starting new sample
2019-04-20 16:30:21 id = 0 (local); Seed = 104; Done (0)
2019-04-20 16:30:21 id = 0 (local); Seed = 110; Starting new sample
2019-04-20 16:30:22 id = 1 (local); Seed = 105; Done (0)
2019-04-20 16:30:22 id = 1 (local); Seed = 111; Starting new sample
2019-04-20 16:30:47 id = 5 (local); Seed = 106; Done (0)
2019-04-20 16:30:47 id = 5 (local); Seed = 112; Starting new sample
2019-04-20 16:31:06 id = 3 (local); Seed = 107; Done (2)
2019-04-20 16:31:06 id = 3 (local); Seed = 113; Starting new sample
2019-04-20 16:31:32 id = 2 (local); Seed = 108; Done (1)
2019-04-20 16:31:32 id = 2 (local); Seed = 114; Starting new sample
2019-04-20 16:31:46 id = 4 (local); Seed = 109; Done (0)
2019-04-20 16:31:46 id = 4 (local); Seed = 115; Starting new sample
2019-04-20 16:31:54 id = 1 (local); Seed = 111; Done (1)
2019-04-20 16:31:54 id = 1 (local); Seed = 116; Starting new sample
2019-04-20 16:32:03 id = 0 (local); Seed = 110; Done (2)
2019-04-20 16:32:03 id = 0 (local); Seed = 117; Starting new sample
2019-04-20 16:32:24 id = 5 (local); Seed = 112; Done (0)
2019-04-20 16:32:24 id = 5 (local); Seed = 118; Starting new sample
2019-04-20 16:32:45 id = 3 (local); Seed = 113; Done (1)
2019-04-20 16:32:45 id = 3 (local); Seed = 119; Starting new sample
2019-04-20 16:33:00 id = 1 (local); Seed = 116; Done (0)
2019-04-20 16:33:00 id = 1 (local); Seed = 120; Starting new sample
2019-04-20 16:33:14 id = 2 (local); Seed = 114; Done (1)
2019-04-20 16:33:14 id = 2 (local); Seed = 121; Starting new sample
2019-04-20 16:33:25 id = 0 (local); Seed = 117; Done (0)
2019-04-20 16:33:25 id = 0 (local); Seed = 122; Starting new sample
2019-04-20 16:33:29 id = 4 (local); Seed = 115; Done (1)
2019-04-20 16:33:29 id = 4 (local); Seed = 123; Starting new sample
2019-04-20 16:34:04 id = 3 (local); Seed = 119; Done (0)
2019-04-20 16:34:04 id = 3 (local); Seed = 124; Starting new sample
2019-04-20 16:34:06 id = 5 (local); Seed = 118; Done (0)
2019-04-20 16:34:06 id = 5 (local); Seed = 125; Starting new sample
2019-04-20 16:34:37 id = 1 (local); Seed = 120; Done (0)
2019-04-20 16:34:37 id = 1 (local); Seed = 126; Starting new sample
2019-04-20 16:34:53 id = 2 (local); Seed = 121; Done (0)
2019-04-20 16:34:53 id = 2 (local); Seed = 127; Starting new sample
2019-04-20 16:34:57 id = 4 (local); Seed = 123; Done (0)
2019-04-20 16:34:57 id = 4 (local); Seed = 128; Starting new sample
2019-04-20 16:35:07 id = 0 (local); Seed = 122; Done (0)
2019-04-20 16:35:07 id = 0 (local); Seed = 129; Starting new sample
2019-04-20 16:35:35 id = 5 (local); Seed = 125; Done (0)
2019-04-20 16:35:35 id = 5 (local); Seed = 130; Starting new sample
2019-04-20 16:35:42 id = 3 (local); Seed = 124; Done (0)
2019-04-20 16:35:42 id = 3 (local); Seed = 131; Starting new sample
2019-04-20 16:36:19 id = 1 (local); Seed = 126; Done (2)
2019-04-20 16:36:19 id = 1 (local); Seed = 132; Starting new sample
2019-04-20 16:36:35 id = 2 (local); Seed = 127; Done (1)
2019-04-20 16:36:35 id = 2 (local); Seed = 133; Starting new sample
2019-04-20 16:36:36 id = 4 (local); Seed = 128; Done (1)
2019-04-20 16:36:36 id = 4 (local); Seed = 134; Starting new sample
2019-04-20 16:36:44 id = 0 (local); Seed = 129; Done (0)
2019-04-20 16:36:44 id = 0 (local); Seed = 135; Starting new sample
2019-04-20 16:37:14 id = 5 (local); Seed = 130; Done (0)
2019-04-20 16:37:14 id = 5 (local); Seed = 136; Starting new sample
2019-04-20 16:37:24 id = 3 (local); Seed = 131; Done (0)
2019-04-20 16:37:24 id = 3 (local); Seed = 137; Starting new sample
2019-04-20 16:37:57 id = 1 (local); Seed = 132; Done (0)
2019-04-20 16:37:57 id = 1 (local); Seed = 138; Starting new sample
2019-04-20 16:38:14 id = 2 (local); Seed = 133; Done (1)
2019-04-20 16:38:14 id = 2 (local); Seed = 139; Starting new sample
2019-04-20 16:38:18 id = 4 (local); Seed = 134; Done (0)
2019-04-20 16:38:18 id = 4 (local); Seed = 140; Starting new sample
2019-04-20 16:38:26 id = 0 (local); Seed = 135; Done (0)
2019-04-20 16:38:26 id = 0 (local); Seed = 141; Starting new sample
2019-04-20 16:38:49 id = 5 (local); Seed = 136; Done (0)
2019-04-20 16:38:49 id = 5 (local); Seed = 142; Starting new sample
2019-04-20 16:39:03 id = 3 (local); Seed = 137; Done (1)
2019-04-20 16:39:03 id = 3 (local); Seed = 143; Starting new sample
2019-04-20 16:39:39 id = 1 (local); Seed = 138; Done (1)
2019-04-20 16:39:39 id = 1 (local); Seed = 144; Starting new sample
2019-04-20 16:39:55 id = 4 (local); Seed = 140; Done (0)
2019-04-20 16:39:55 id = 4 (local); Seed = 145; Starting new sample
2019-04-20 16:39:56 id = 2 (local); Seed = 139; Done (0)
2019-04-20 16:39:56 id = 2 (local); Seed = 146; Starting new sample
2019-04-20 16:40:05 id = 0 (local); Seed = 141; Done (0)
2019-04-20 16:40:05 id = 0 (local); Seed = 147; Starting new sample
2019-04-20 16:40:31 id = 5 (local); Seed = 142; Done (1)
2019-04-20 16:40:31 id = 5 (local); Seed = 148; Starting new sample
2019-04-20 16:40:45 id = 3 (local); Seed = 143; Done (1)
2019-04-20 16:40:45 id = 3 (local); Seed = 149; Starting new sample
2019-04-20 16:41:17 id = 1 (local); Seed = 144; Done (0)
2019-04-20 16:41:17 id = 1 (local); Seed = 150; Starting new sample
2019-04-20 16:41:25 id = 2 (local); Seed = 146; Done (1)
2019-04-20 16:41:25 id = 2 (local); Seed = 151; Starting new sample
2019-04-20 16:41:34 id = 4 (local); Seed = 145; Done (1)
2019-04-20 16:41:34 id = 4 (local); Seed = 152; Starting new sample
2019-04-20 16:41:44 id = 0 (local); Seed = 147; Done (0)
2019-04-20 16:41:44 id = 0 (local); Seed = 153; Starting new sample
2019-04-20 16:41:58 id = 5 (local); Seed = 148; Done (0)
2019-04-20 16:41:58 id = 5 (local); Seed = 154; Starting new sample
2019-04-20 16:42:24 id = 3 (local); Seed = 149; Done (1)
2019-04-20 16:42:24 id = 3 (local); Seed = 155; Starting new sample
2019-04-20 16:42:59 id = 4 (local); Seed = 152; Done (1)
2019-04-20 16:42:59 id = 4 (local); Seed = 156; Starting new sample
2019-04-20 16:42:59 id = 1 (local); Seed = 150; Done (2)
2019-04-20 16:42:59 id = 1 (local); Seed = 157; Starting new sample
2019-04-20 16:43:07 id = 2 (local); Seed = 151; Done (0)
2019-04-20 16:43:07 id = 2 (local); Seed = 158; Starting new sample
2019-04-20 16:43:23 id = 0 (local); Seed = 153; Done (0)
2019-04-20 16:43:23 id = 0 (local); Seed = 159; Starting new sample
2019-04-20 16:43:40 id = 5 (local); Seed = 154; Done (0)
2019-04-20 16:43:40 id = 5 (local); Seed = 160; Starting new sample
2019-04-20 16:44:06 id = 3 (local); Seed = 155; Done (0)
2019-04-20 16:44:06 id = 3 (local); Seed = 161; Starting new sample
2019-04-20 16:44:33 id = 4 (local); Seed = 156; Done (0)
2019-04-20 16:44:33 id = 4 (local); Seed = 162; Starting new sample
2019-04-20 16:44:36 id = 1 (local); Seed = 157; Done (0)
2019-04-20 16:44:36 id = 1 (local); Seed = 163; Starting new sample
2019-04-20 16:44:49 id = 2 (local); Seed = 158; Done (2)
2019-04-20 16:44:49 id = 2 (local); Seed = 164; Starting new sample
2019-04-20 16:45:01 id = 0 (local); Seed = 159; Done (0)
2019-04-20 16:45:01 id = 0 (local); Seed = 165; Starting new sample
2019-04-20 16:45:12 id = 5 (local); Seed = 160; Done (0)
2019-04-20 16:45:12 id = 5 (local); Seed = 166; Starting new sample
2019-04-20 16:45:44 id = 3 (local); Seed = 161; Done (0)
2019-04-20 16:45:44 id = 3 (local); Seed = 167; Starting new sample
2019-04-20 16:46:15 id = 4 (local); Seed = 162; Done (0)
2019-04-20 16:46:15 id = 4 (local); Seed = 168; Starting new sample
2019-04-20 16:46:19 id = 1 (local); Seed = 163; Done (0)
2019-04-20 16:46:19 id = 1 (local); Seed = 169; Starting new sample
2019-04-20 16:46:27 id = 2 (local); Seed = 164; Done (0)
2019-04-20 16:46:27 id = 2 (local); Seed = 170; Starting new sample
2019-04-20 16:46:44 id = 0 (local); Seed = 165; Done (2)
2019-04-20 16:46:44 id = 0 (local); Seed = 171; Starting new sample
2019-04-20 16:46:55 id = 5 (local); Seed = 166; Done (0)
2019-04-20 16:46:55 id = 5 (local); Seed = 172; Starting new sample
2019-04-20 16:47:26 id = 3 (local); Seed = 167; Done (1)
2019-04-20 16:47:26 id = 3 (local); Seed = 173; Starting new sample
2019-04-20 16:47:41 id = 1 (local); Seed = 169; Done (0)
2019-04-20 16:47:41 id = 1 (local); Seed = 174; Starting new sample
2019-04-20 16:47:46 id = 4 (local); Seed = 168; Done (0)
2019-04-20 16:47:46 id = 4 (local); Seed = 175; Starting new sample
2019-04-20 16:48:09 id = 2 (local); Seed = 170; Done (0)
2019-04-20 16:48:09 id = 2 (local); Seed = 176; Starting new sample
2019-04-20 16:48:26 id = 0 (local); Seed = 171; Done (1)
2019-04-20 16:48:26 id = 0 (local); Seed = 177; Starting new sample
2019-04-20 16:48:32 id = 5 (local); Seed = 172; Done (0)
2019-04-20 16:48:32 id = 5 (local); Seed = 178; Starting new sample
2019-04-20 16:49:04 id = 3 (local); Seed = 173; Done (0)
2019-04-20 16:49:04 id = 3 (local); Seed = 179; Starting new sample
2019-04-20 16:49:24 id = 1 (local); Seed = 174; Done (0)
2019-04-20 16:49:24 id = 1 (local); Seed = 180; Starting new sample
2019-04-20 16:49:28 id = 4 (local); Seed = 175; Done (0)
2019-04-20 16:49:28 id = 4 (local); Seed = 181; Starting new sample
2019-04-20 16:49:34 id = 2 (local); Seed = 176; Done (0)
2019-04-20 16:49:34 id = 2 (local); Seed = 182; Starting new sample
2019-04-20 16:50:05 id = 0 (local); Seed = 177; Done (0)
2019-04-20 16:50:05 id = 0 (local); Seed = 183; Starting new sample
2019-04-20 16:50:07 id = 5 (local); Seed = 178; Done (0)
2019-04-20 16:50:07 id = 5 (local); Seed = 184; Starting new sample
2019-04-20 16:50:46 id = 3 (local); Seed = 179; Done (2)
2019-04-20 16:50:46 id = 3 (local); Seed = 185; Starting new sample
2019-04-20 16:51:00 id = 4 (local); Seed = 181; Done (0)
2019-04-20 16:51:00 id = 4 (local); Seed = 186; Starting new sample
2019-04-20 16:51:01 id = 1 (local); Seed = 180; Done (0)
2019-04-20 16:51:01 id = 1 (local); Seed = 187; Starting new sample
2019-04-20 16:51:13 id = 2 (local); Seed = 182; Done (0)
2019-04-20 16:51:13 id = 2 (local); Seed = 188; Starting new sample
2019-04-20 16:51:45 id = 5 (local); Seed = 184; Done (0)
2019-04-20 16:51:45 id = 5 (local); Seed = 189; Starting new sample
2019-04-20 16:51:47 id = 0 (local); Seed = 183; Done (1)
2019-04-20 16:51:47 id = 0 (local); Seed = 190; Starting new sample
2019-04-20 16:52:25 id = 3 (local); Seed = 185; Done (0)
2019-04-20 16:52:25 id = 3 (local); Seed = 191; Starting new sample
2019-04-20 16:52:36 id = 2 (local); Seed = 188; Done (0)
2019-04-20 16:52:36 id = 2 (local); Seed = 192; Starting new sample
2019-04-20 16:52:43 id = 4 (local); Seed = 186; Done (0)
2019-04-20 16:52:43 id = 4 (local); Seed = 193; Starting new sample
2019-04-20 16:52:43 id = 1 (local); Seed = 187; Done (0)
2019-04-20 16:52:43 id = 1 (local); Seed = 194; Starting new sample
2019-04-20 16:53:21 id = 5 (local); Seed = 189; Done (0)
2019-04-20 16:53:21 id = 5 (local); Seed = 195; Starting new sample
2019-04-20 16:53:29 id = 0 (local); Seed = 190; Done (0)
2019-04-20 16:53:29 id = 0 (local); Seed = 196; Starting new sample
2019-04-20 16:54:02 id = 2 (local); Seed = 192; Done (0)
2019-04-20 16:54:02 id = 2 (local); Seed = 197; Starting new sample
2019-04-20 16:54:07 id = 3 (local); Seed = 191; Done (2)
